id,observed_on,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
10247,12/06/07,TRUE,516,msr,2011-01-22 03:06:35 UTC,2014-10-20 03:18:02 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/10247,http://static.inaturalist.org/photos/21611/medium.jpg?1401918052,,2,0,FALSE,,"Karori Wildlife Sanctuary, Wellington, New Zealand",-41.37383876,174.8108765,,,,,Wellington City,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
25977,27/11/10,,1506,pierre_t,2011-07-25 04:34:32 UTC,2015-02-26 22:23:16 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/25977,http://static.inaturalist.org/photos/46760/medium.JPG?1401925629,,2,0,FALSE,,Karori,-41.25738679,174.8517292,,,,,Wellington City,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
41260,13/11/11,TRUE,1506,pierre_t,2011-12-06 03:07:33 UTC,2015-02-26 22:35:42 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/41260,http://static.inaturalist.org/photos/68362/medium.JPG?1401756715,,3,0,FALSE,,Wellington,-41.2373645,174.6880862,,,,,Wellington City,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
42755,13/02/06,,2991,sea-kangaroo,2011-12-14 05:01:14 UTC,2015-02-26 22:41:04 UTC,research,CC-BY,http://www.inaturalist.org/observations/42755,http://static.inaturalist.org/photos/70157/medium.JPG?1401757365,,2,0,FALSE,,"Halfmoon Bay, Stewart Island, New Zealand",-46.88187384,168.151861,,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
42756,14/02/06,FALSE,2991,sea-kangaroo,2011-12-14 05:04:52 UTC,2015-02-26 22:40:55 UTC,research,CC-BY,http://www.inaturalist.org/observations/42756,http://static.inaturalist.org/photos/70158/medium.JPG?1401757372,,2,0,FALSE,,"Halfmoon Bay, Stewart Island, New Zealand",-46.8343998,168.0796323,,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
42758,15/02/06,FALSE,2991,sea-kangaroo,2011-12-14 05:09:17 UTC,2015-02-26 22:40:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/42758,http://static.inaturalist.org/photos/70160/medium.JPG?1401757382,"Likes: cake, apples",2,0,FALSE,,"Halfmoon Bay, Stewart Island, New Zealand",-46.89290266,168.0893534,,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dislikes: rhubarb,,,,,,,,,,,,,,,,,
44166,1/11/11,FALSE,4096,rosemarykb,2011-12-19 19:21:08 UTC,2014-03-12 07:49:48 UTC,casual,,http://www.inaturalist.org/observations/44166,,Seen approx 1st November by David Gauld,0,0,FALSE,,University of Auckland campus,-36.80235432,174.7458799,,,,,,New Zealand Kaka (Nestor meridionalis),Nestor meridionalis,New Zealand Kaka,Aves,18943
199678,21/01/12,FALSE,13200,d_kluza,2013-02-16 15:41:28 UTC,2014-10-19 23:12:26 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/199678,http://farm8.staticflickr.com/7160/6735150711_c1cbe11b9d.jpg,"Kaka (<i>Nestor meridionalis</i>), Pukaha Mount Bruce Wildlife Centre.",1,0,FALSE,,"Mount Bruce, Eketahuna, New Zealand",-40.76936745,175.7284966,,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"North Island, New Zealand.",,,,,,,,,,,,,,,,,
206174,12/02/13,TRUE,4733,denniswross,2013-02-27 05:22:53 UTC,2014-10-19 23:34:53 UTC,research,CC-BY,http://www.inaturalist.org/observations/206174,http://static.inaturalist.org/photos/261694/medium.JPG?1361942599,Photo taken by my wife Suzie.,1,0,FALSE,,orokonui new zealand,-45.68337766,170.5631568,635,,,,,New Zealand Kaka,Nestor meridionalis,New Zealand Kaka,Aves,18943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
