Site,plotnumber,Height,Age,GW,CH,CO,MST,MV
Clearwater,vscl06,5.7,29,47,6.4,3.37,51.3,921.6666667
Clearwater,vscl12,6.5,22,50,5.4,7.55,41.2,782.3333333
Clearwater,vscl09,5,25,45,5,3.18,38.76666667,750.3333333
Clearwater,vscl18,4.9,28,55,5.35,4.16,47.13333333,859.6666667
Clearwater,vscl21,4.1,26,48,3.8,8.92,68.5,1006.666667
Clearwater,vscl27,4.9,21,42,4.3,9.46,48.56666667,885
Clearwater,vscl23,2.95,24,43,3,21.19,78.86666667,1049
Clearwater,vscl32,4.2,27,48,4.15,2.75,65.76666667,1027
Clearwater,vscl04,2.7,16,30,2.9,9.1,61.66666667,1005.333333
Clearwater,vscl29,2.9,14,55,3.6,2.94,47.5,867
Lawsons,vsbb08,3.4,28,50,3.1,14.29,59.56666667,956.3333333
Lawsons,vsbb28,5.3,27,55,5.1,3.65,22.43333333,435
Lawsons,vsbb35,5.6,33,55,5.7,9.36,31.5,414.6333333
Lawsons,vsbb22,5.7,29,55,6,7.31,23.73333333,464.6666667
Lawsons,vsbb17,6,33,55,5.7,17.74,50.36666667,1005
Lawsons,vsbb01,2.7,19,55,3.4,3.56,53.8,932.3333333
Lawsons,vsbb32,3.7,22,50,3.1,4.77,75.13333333,1051.333333
Lawsons,vsbb15,3.5,20,55,2.9,2.56,47.23333333,856.3333333
Lawsons,vsbb26,5.7,22,55,5.3,17.12,44.03333333,832
Lawsons,vsbb05,4.7,30,55,3.5,2.07,56.36666667,961
Craws Creek,vsgp22,5.3,25,55,5.5,13.85,73.1,1042.666667
Craws Creek,vsgp32,5.7,30,38,3,5.61,73,1048.666667
Craws Creek,vsgp36,6,32,43,3.9,3.51,98.56666667,1113.333333
Craws Creek,vsgp04,5.2,18,55,5,2.61,49.76666667,901.3333333
Craws Creek,vsgp09,4.7,29,40,3.9,2.3,62.96666667,983
Craws Creek,vsgp37,6.1,32,55,3.6,7.94,29.53333333,585.3333333
Craws Creek,vsgp13,5.4,26,55,5.1,3.23,32.4,641.3333333
Craws Creek,vsgp08,6.1,24,55,5.2,2.26,26.76666667,531.3333333
Craws Creek,vsgp06,5.6,26,55,5.2,4.31,21.9,293.8666667
Craws Creek,vsgp23,5.3,20,55,4.8,2.33,20.86666667,403.3333333
Tiwai,vst20,3.4,29,50,3.1,6.02,76.03333333,1059.666667
Tiwai,vst04,2.6,29,55,2.4,3.54,65.56666667,1012
Tiwai,vst13,2.3,21,46,2.45,2.91,64.93333333,948.3333333
Tiwai,vst17,3.4,27,35,3.4,10.08,52.93333333,910.6666667
Tiwai,vst33,5.3,35,55,4.7,11.66,39.56666667,759.3333333
Tiwai,vst24,3.6,33,38,2.9,2.21,59.13333333,951.6666667
Tiwai,vst31,5,39,38,4.1,1.84,74.43333333,1040.333333
Tiwai,vst05,2.6,23,50,2.2,4.39,67.6,916
Tiwai,vst03,2.2,28,55,2.05,9.76,56.56666667,1016.666667
Tiwai,vst11,2.3,21,55,2.3,6.45,55.93333333,969.3333333
