"","id","user_id","quality_grade","latitude","longitude","species","scientific_name"
"1",229,5,"research",-42.97006327,171.5570892,"Kea","Nestor notabilis"
"2",3926,129,"casual",-45.35207015,167.730725,"Kea","Nestor notabilis"
"3",15918,1115,"research",-42.98001125,171.6308292,"Kea","Nestor notabilis"
"4",191315,12615,"research",-43.8102804,169.9835845,"Kea","Nestor notabilis"
"5",216391,12615,"research",-43.7822936,169.9123951,"Kea","Nestor notabilis"
"6",352465,18222,"research",-45.34314712,167.677805,"Kea","Nestor notabilis"
"7",417231,15795,"research",-42.88101227,171.4709993,"Kea","Nestor notabilis"
"8",424093,23093,"research",-43.0059021,171.506125,"Kea","Nestor notabilis"
"9",444614,3773,"research",-44.81207509,168.1544625,"Kea","Nestor notabilis"
"10",444615,3773,"research",-44.82254213,167.9492017,"Kea","Nestor notabilis"
"11",940900,5302,"research",-42.86978878,171.651632,"Kea","Nestor notabilis"
"12",941045,1115,"casual",-43.47461584,172.5749266,"Kea","Nestor notabilis"
"13",941214,1115,"research",-43.06494785,171.7408142,"Kea","Nestor notabilis"
"14",941220,1115,"research",-42.92612998,171.5175369,"Kea","Nestor notabilis"
"15",941221,1115,"research",-42.94431255,171.5810118,"Kea","Nestor notabilis"
"16",941222,1115,"research",-42.88957729,171.5009489,"Kea","Nestor notabilis"
"17",941385,57530,"research",-43.43918843,171.5296911,"Kea","Nestor notabilis"
"18",943550,1115,"research",-42.84793098,171.5118429,"Kea","Nestor notabilis"
"19",943601,1115,"research",-42.94435743,171.6640299,"Kea","Nestor notabilis"
"20",943624,1115,"research",-42.93979818,171.480132,"Kea","Nestor notabilis"
"21",943729,57560,"research",-42.94660931,171.4692503,"Kea","Nestor notabilis"
"22",943889,57573,"casual",-43.79219845,170.2376228,"Kea","Nestor notabilis"
"23",945030,57560,"research",-42.82540525,171.5997113,"Kea","Nestor notabilis"
"24",945032,57560,"research",-42.82930908,171.6466997,"Kea","Nestor notabilis"
"25",945034,57560,"research",-42.90205693,171.4435862,"Kea","Nestor notabilis"
"26",945036,57560,"research",-42.92411187,171.4768063,"Kea","Nestor notabilis"
"27",945048,57560,"research",-42.841996,171.5406693,"Kea","Nestor notabilis"
"28",945745,57560,"research",-42.96585295,171.6828428,"Kea","Nestor notabilis"
"29",945746,57560,"research",-42.90785679,171.5115239,"Kea","Nestor notabilis"
"30",945747,57560,"research",-43.01813999,171.5797931,"Kea","Nestor notabilis"
"31",946734,57514,"research",-43.55023574,169.9624841,"Kea","Nestor notabilis"
"32",946985,57507,"research",-43.1092844,171.8154464,"Kea","Nestor notabilis"
"33",948616,57735,"research",-43.00257772,171.489527,"Kea","Nestor notabilis"
"34",948974,57514,"casual",-45.15415581,167.253781,"Kea","Nestor notabilis"
"35",948979,57514,"casual",-44.97722376,167.7297484,"Kea","Nestor notabilis"
"36",948995,57514,"casual",-45.60726598,167.2235877,"Kea","Nestor notabilis"
"37",949055,57650,"research",-42.8846396,171.4641095,"Kea","Nestor notabilis"
"38",953508,2804,"research",-42.97546463,171.5700358,"Kea","Nestor notabilis"
"39",954765,56952,"casual",-43.20406889,171.7485756,"Kea","Nestor notabilis"
"40",956069,56928,"casual",-42.91368714,171.5780312,"Kea","Nestor notabilis"
"41",958120,57756,"casual",-44.91426062,168.2381387,"Kea","Nestor notabilis"
"42",959520,1115,"research",-42.87290459,171.5587199,"Kea","Nestor notabilis"
"43",959744,57514,"casual",-42.49980388,172.1090877,"Kea","Nestor notabilis"
"44",960664,57560,"research",-42.96192694,171.643731,"Kea","Nestor notabilis"
"45",963651,1115,"research",-42.96963571,171.7100169,"Kea","Nestor notabilis"
"46",964297,1115,"research",-43.06927366,171.7073904,"Kea","Nestor notabilis"
"47",965028,1115,"casual",-43.50156216,172.564876,"Kea","Nestor notabilis"
"48",967679,56952,"research",-42.95863162,171.5945067,"Kea","Nestor notabilis"
"49",969691,57511,"research",-43.20234239,171.6344824,"Kea","Nestor notabilis"
"50",970762,1115,"research",-42.89435478,171.5780985,"Kea","Nestor notabilis"
"51",970913,57756,"research",-44.7494148,168.2669274,"Kea","Nestor notabilis"
"52",972732,57518,"research",-43.16318909,171.5498232,"Kea","Nestor notabilis"
"53",974848,56952,"casual",-43.44153335,170.139053,"Kea","Nestor notabilis"
"54",982319,57507,"research",-42.37008988,173.6080664,"Kea","Nestor notabilis"
"55",983675,56928,"research",-42.89698698,171.4953887,"Kea","Nestor notabilis"
"56",983850,58688,"research",-43.25509533,171.7462018,"Kea","Nestor notabilis"
"57",988339,57560,"research",-42.87159432,171.6296177,"Kea","Nestor notabilis"
"58",989172,56690,"research",-43.20060671,171.7265737,"Kea","Nestor notabilis"
"59",990693,56960,"research",-44.74693439,168.2494697,"Kea","Nestor notabilis"
"60",990911,58906,"research",-42.89910329,171.6643992,"Kea","Nestor notabilis"
"61",992501,57560,"research",-42.95198679,171.6041522,"Kea","Nestor notabilis"
"62",993223,58872,"research",-42.94069696,171.5225696,"Kea","Nestor notabilis"
"63",994480,1115,"research",-42.86088345,171.5861276,"Kea","Nestor notabilis"
"64",997792,59006,"casual",-43.00458223,171.1472754,"Kea","Nestor notabilis"
