plot,site,slope,drainage
k11,Kowai,25,2
k12,Kowai flat,0,1
k21,Kowai,24,3
k22,Kowai,35,3
k31,Kowai,27,2
k32,Kowai,23,2
k41,Kowai,27,2
k44,Kowai,18,2
k51,Kowai,38,3
k52,Kowai flat,8,1
k61,Kowai,20,3
k62,Kowai,23,3
k71,Kowai,5,2
k72,Kowai,25,3
k91,Kowai,25,2
k92,Kowai,30,1
l11,Lords,0,1
l12,Lords,0,1
l21,Lords,1,1
l22,Lords,1,1
l31,Lords,2,3
l32,Lords,1,3
l41,Lords,1,2
l42,Lords,2,2
l51,Lords,4,2
l52,Lords,5,1
l61,Lords,3,2
l62,Lords,5,3
l71,Lords,5,2
l72,Lords,3,1
l81,Lords,18,3
k81,Kowai,2,2
l82,Lords,25,2
k82,Kowai,2,2
l91,Lords,5,2
l92,Lords,2,2
