motel,weta.marked,weta.unmarked,weta.cave,distance.to.edge,dbh.host,canopy.cover,average.other.dbh,cockroach.presence,spider.presence,total.weta,total.weta.inclcave,weta.presence,weta.presence2,cave.weta.presence
A01,3,0,0,1,11.1,60,15.93,0,0,3,3,present,1,0
A02,0,0,0,10,16,35,13.56,0,1,0,0,absent,0,0
A03,1,0,0,22,10.2,30,12.47,0,0,1,1,present,1,0
A04,0,0,0,40.2,30.7,40,8.69,1,0,0,0,absent,0,0
A05,0,0,0,53.2,44,40,6.63,0,0,0,0,absent,0,0
A06,0,0,1,66,13.6,50,2.15,0,0,0,1,absent,0,1
A07,0,0,0,75.3,32.2,65,12.92,0,0,0,0,absent,0,0
A08,0,0,0,40.5,17.5,5,15.83,0,1,0,0,absent,0,0
A09,0,0,0,23.6,30.6,65,12.96,1,0,0,0,absent,0,0
A10,0,0,0,40.8,26.8,5,23.4,0,1,0,0,absent,0,0
A11,2,0,0,29.2,27.5,30,20.44,0,0,2,2,present,1,0
A12,3,0,1,2,19.9,85,14.17,0,0,3,4,present,1,1
B01,0,0,4,3.8,17.1,90,10.9,1,0,0,4,absent,0,1
B02,0,1,0,21.3,33.7,70,30.46,1,0,1,1,present,1,0
B03,0,0,0,42.1,NA,50,8.45,1,0,0,0,absent,0,0
B04,1,0,1,60.8,NA,50,11.75,0,0,1,2,present,1,1
B05,0,0,0,76,NA,50,17.08,0,1,0,0,absent,0,0
B06,0,0,0,82.6,NA,55,13.77,1,0,0,0,absent,0,0
B07,0,0,2,84.51,NA,60,7.21,1,0,0,2,absent,0,1
B08,0,0,2,68.31,NA,60,7.66,1,0,0,2,absent,0,1
B09,0,0,0,53.76,NA,25,12.85,0,0,0,0,absent,0,0
B10,0,2,0,38,NA,10,23.61,0,0,2,2,present,1,0
B11,0,0,3,28.8,NA,65,17.85,1,0,0,3,absent,0,1
B12,4,1,0,15.2,34.2,80,16.06,1,0,5,5,present,1,0
C02,1,0,0,4.5,16.5,80,7.67,1,0,1,1,present,1,0
C02,0,0,0,17.5,7,90,9.45,0,0,0,0,absent,0,0
C03,2,0,0,31.5,24,90,19.45,0,0,2,2,present,1,0
C04,0,0,0,51.5,16.4,90,8.44,0,1,0,0,absent,0,0
C05,0,0,0,70,25,90,15.95,1,0,0,0,absent,0,0
C06,0,0,0,91.9,24,60,19.05,0,1,0,0,absent,0,0
C07,0,0,0,121.8,35,60,25.25,0,0,0,0,absent,0,0
C08,2,0,0,104,9.5,70,19.75,0,0,2,2,present,1,0
C09,0,0,0,80,41,60,20.72,0,0,0,0,absent,0,0
C10,0,1,0,54,24,70,20.02,1,0,1,1,present,1,0
C11,0,0,0,35.5,10.5,70,13.37,0,1,0,0,absent,0,0
C12,0,0,0,14,46.5,55,25.35,0,0,0,0,absent,0,0
D01,3,0,0,1,12.5,63,20.74,0,0,3,3,present,1,0
D02,1,0,0,12.65,17,45,13.85,0,1,1,1,present,1,0
D03,1,0,0,11.4,19.8,73,19.82,1,1,1,1,present,1,0
D04,1,0,0,35.9,46,83,24.09,0,0,1,1,present,1,0
D05,1,0,1,55.8,18.7,40,30.18,0,0,1,2,present,1,1
D06,0,1,0,65,29.8,40,28.63,1,0,1,1,present,1,0
D07,0,0,0,69.3,7.5,56,21.24,0,0,0,0,absent,0,0
D08,2,0,1,55.6,29.9,47,30.44,1,0,2,3,present,1,1
D09,0,0,0,43.8,8.4,27,27.43,1,1,0,0,absent,0,0
D10,0,0,0,30,21.4,58,25.93,0,0,0,0,absent,0,0
D11,0,0,0,24.8,35.6,50,26.83,0,0,0,0,absent,0,0
D12,1,1,0,10,27.3,63,30.19,0,0,2,2,present,1,0
E01,0,3,0,5.5,15,95,8.76,0,0,3,3,present,1,0
E02,0,0,1,20,49.2,95,23.77,1,0,0,1,absent,0,1
E03,0,0,0,34.8,25.5,95,20.29,0,0,0,0,absent,0,0
E04,1,2,0,50.6,43.7,80,19.14,0,0,3,3,present,1,0
E05,0,0,0,65.2,7.9,40,12.5,0,1,0,0,absent,0,0
E06,0,0,0,79.5,38.7,15,14.29,1,0,0,0,absent,0,0
E07,1,0,1,89.5,30.5,20,22.34,0,0,1,2,present,1,1
E08,1,0,0,86.2,31.2,40,18.96,0,0,1,1,present,1,0
E09,0,0,0,69.2,40.7,60,22.59,1,0,0,0,absent,0,0
E10,0,0,0,45,36.8,85,13.67,0,0,0,0,absent,0,0
E11,1,1,0,30.5,18.3,85,19.41,1,0,2,2,present,1,0
E12,1,0,0,10.4,9.2,90,10.4,1,0,1,1,present,1,0
F01,4,1,0,4.5,40,90,13.19,0,0,5,5,present,1,0
F02,1,1,0,16.5,10.7,90,18.01,0,0,2,2,present,1,0
F03,0,0,0,17.5,13.7,90,26.04,0,1,0,0,absent,0,0
F04,0,0,1,22.2,21.9,90,10.03,1,0,0,1,absent,0,1
F05,0,0,0,37.8,18,90,11.61,1,0,0,0,absent,0,0
F06,0,0,0,105.8,43.9,90,7.25,1,0,0,0,absent,0,0
F07,1,0,0,82.2,10,90,8.83,1,0,1,1,present,1,0
F08,1,0,0,67.55,39.8,90,10.52,0,0,1,1,present,1,0
F09,0,0,2,55.3,15.9,90,10.83,1,0,0,2,absent,0,1
F10,4,0,0,35.8,38.3,90,24.69,0,0,4,4,present,1,0
F11,0,0,0,23,13.4,70,24.19,1,0,0,0,absent,0,0
F12,2,0,0,4.8,44.5,40,27.1,1,0,2,2,present,1,0
